name,recipe_id
"4 tablespoons (1/2 stick) unsalted butter, plus more for baking dish",1
Coarse salt and freshly ground pepper,1
3 cups elbow macaroni,1
2 (12-ounce) cans evaporated milk,1
1/3 cup skim milk,1
2 large eggs,1
1/2 teaspoon seasoned salt,1
1/4 teaspoon garlic powder,1
"2 (8-ounce) packages extra-sharp cheddar cheese, grated",1
"1 (8-ounce) package Monterey Jack cheese, grated",1
"Paprika, for sprinkling",1
2 tablespoons extra-virgin olive oil,2
"1 large onion, finely diced",2
"2 carrots, peeled and thinly sliced",2
"2 celery stalks, thinly sliced",2
"10 ounces cremini mushrooms, trimmed and sliced",2
1 tablespoon tomato paste,2
"1 tablespoon vegetarian Worcestershire sauce, such as Annie's Naturals",2
1 dried bay leaf,2
"1 cup French green lentils, picked over",2
Kosher salt and freshly ground pepper,2
1 cup frozen peas,2
"2 pounds Yukon Gold potatoes, scrubbed and cut into 1 1/2-inch pieces",2
4 cloves garlic,2
4 tablespoons unsalted butter,2
"1/2 cup whole milk, warmed",2
"2 tablespoons extra-virgin olive oil, plus more for drizzling",3
"3 leeks, white and light-green parts only, chopped and well washed",3
"2 carrots, peeled and chopped",3
"2 celery stalks, chopped",3
"8 cups low-sodium chicken broth or water, or a combination",3
"1 pound dried split peas, picked over",3
5 ounces baby spinach,3
Kosher salt and freshly ground pepper,3
"1/2 cup full-fat plain yogurt (not Greek), whisked, for serving",3
"2 cups <a href=""http://www.marthastewart.com/1527738/how-cook-barley"">cooked barley</a>, for serving",3
"2 tablespoons extra-virgin olive oil, plus more for drizzling",4
1/2 cup chopped shallot,4
1/2 cup chopped carrot,4
1/2 cup chopped celery,4
1/2 teaspoon ground cumin,4
1/2 teaspoon ground coriander,4
Kosher salt and freshly ground pepper,4
1 cup dried French lentils,4
1 can (15 ounces) crushed tomatoes,4
4 cups chopped broccoli rabe,4
2 teaspoons red-wine vinegar,4
1 pound sweet potatoes (2 to 3),5
"1 1/2 cups unbleached all-purpose flour, plus more for dusting",5
"1 large egg, room temperature, beaten",5
1 1/2 teaspoons kosher salt,5
3 tablespoons pepitas,5
1 tablespoon sesame seeds,5
2 teaspoons poppy seeds,5
Kosher salt and freshly ground pepper,5
1 stick unsalted butter,5
"Handful of fresh sage leaves, sliced if large",5
2 tablespoons Dijon mustard,6
"1 teaspoon finely grated lemon zest, plus 3 tablespoons fresh juice",6
Kosher salt and freshly ground pepper,6
1/3 cup extra-virgin olive oil,6
"1 1/2 pounds carrots, peeled and cut on the bias into 1/4-inch-thick slices (4 1/2 cups)",6
3 tablespoons unsalted butter,6
"12 ounces sugar snap peas, trimmed if stringy, halved on the bias",6
"3 tablespoons extra-virgin olive oil, plus more for drizzling",7
"3 pints red, orange, and yellow pear or cherry tomatoes (about 2 pounds), halved if large; plus a few more, still on the vine (optional)",7
Kosher salt,7
"2 cloves garlic, minced",7
"Large pinch of red-pepper flakes, plus more for serving",7
12 ounces spaghetti or bucatini,7
"2 ounces Parmigiano-Reggiano, finely grated (1/2 cup)",7
1/2 cup fresh ricotta cheese,7
"Small fresh basil leaves, for serving",7
"<a href=""https://www.marthastewart.com/255832/saras-herb-cream-cheese"">Sara's Herb Cream Cheese</a>",8
"<a href=""https://www.marthastewart.com/343697/saras-roasted-plum-tomatoes"">Sara's Roasted Plum Tomatoes</a>",8
"<a href=""https://www.marthastewart.com/344222/saras-salad-greens-mixture"">Sara's Salad Greens Mixture</a>",8
"<a href=""https://www.marthastewart.com/255365/saras-scrambled-eggs"">Sara's Scrambled Eggs</a>",8
4 twelve-inch spinach tortillas,8
Extra-virgin olive oil,8
8 ounces smoked salmon,8
8 tablespoons alfalfa sprouts,8
"1 small bunch basil, minced, for garnish",8
"4 scallions, white part only, julienned, for garnish",8
"1/2 small red onion, thinly sliced, for garnish",8
2 tablespoon olive oil,9
"1/2 yellow onion, chopped",9
"2 garlic cloves, minced",9
"2 celery stalks, diced",9
"2 carrots, peeled and diced",9
1 cup chopped broccoli,9
1 cup cooked chickpeas,9
2 tablespoons white miso,9
Coarse salt,9
"2 medium red potatoes, scrubbed and cut into 1-inch pieces",10
3 tablespoons canola oil,10
1/2 teaspoon ground cumin,10
"1 jalapeno, seeded and finely diced",10
"3 scallions, cut into 1/4-inch slices (reserve 1 for garnish)",10
"8 ounces cherry tomatoes, halved",10
"1 can (15 ounces) black beans, drained and rinsed",10
2 teaspoons nutritional yeast seasoning,10
"1 package (8 ounces) plain, pasteurized organic tempeh, crumbled",10
"1 medium avocado, coarsely chopped",10
Coarse salt and freshly ground black pepper,10
8 ounces cherry tomatoes (1 1/4 cups),11
"3 tablespoons extra-virgin olive oil, plus more for drizzling",11
Coarse salt and freshly ground pepper,11
4 packed cups finely shredded stemmed kale (from 1 bunch),11
2 tablespoons minced garlic (from 2 cloves),11
"3 cups <a href=""https://www.marthastewart.com/1132756/cooked-hulled-barley"">Cooked Hulled Barley</a>, such as Hayden Flour Mills Purple-and-Bronze",11
4 large eggs,11
"2 ripe but firm small avocados, halved, pitted, and scooped from skins",11
1/2 cup diced English cucumber,11
"Plain Greek yogurt, for serving",11
"2 cups whole or low-fat milk, plus more for serving",12
"1 cup quinoa, rinsed",12
"3 tablespoons light-brown sugar, plus more for serving",12
"1/8 teaspoon ground cinnamon, plus more for serving",12
"1 cup (1/2 pint) fresh blueberries, plus more for serving",12
"<a href=""https://www.marthastewart.com/856106/sausage-logs"">1 frozen sausage log</a>",13
2 large eggs,13
"Unsalted butter, if needed",13
1 piece (6 inches long) baguette,14
2 slices cheddar cheese,14
2 large eggs,14
1 teaspoon butter,14
Coarse salt and freshly ground pepper,14
2 large tomato slices,14
1/4 cup fresh basil leaves,14
"1/2 cup uncooked rice blend (such as Rice Select Royal Blend, with quinoa and freekeh)",15
One 15-ounce can unsweetened coconut milk,15
"2 tablespoons pure maple syrup, plus more for serving",15
1/8 teaspoon ground cinnamon,15
Kosher salt,15
1 cup frozen raspberries,15
"Fresh raspberries and toasted unsweetened coconut flakes, for serving",15
"Butter, for pan",16
6 large eggs,16
1 1/2 cups heavy cream,16
2 teaspoons coarse salt,16
